grid_id,lat,lon,climate_sequence_id,power_lat,power_lon
AHN-00557,24.44506142002625,48.977748878271214,CLIMS24p25_48p75,24.25,48.75
AHN-00558,24.44634819908803,49.07635057217605,CLIMS24p25_49p25,24.25,49.25
AHN-00559,24.44757074880053,49.17495896820905,CLIMS24p25_49p25,24.25,49.25
AHN-00560,24.448729052315326,49.273573723484155,CLIMS24p25_49p25,24.25,49.25
AHN-00561,24.449823093667533,49.37219449500197,CLIMS24p25_49p25,24.25,49.25
AHN-00562,24.45085285777005,49.47082093962877,CLIMS24p25_49p25,24.25,49.25
AHN-00563,24.512664160898307,47.69433661615416,CLIMS24p75_47p75,24.75,47.75
AHN-00564,24.514792821590408,47.79288999180604,CLIMS24p75_47p75,24.75,47.75
AHN-00565,24.516857285885298,47.89145454682765,CLIMS24p75_47p75,24.75,47.75
AHN-00566,24.518857525374887,47.99002993961327,CLIMS24p75_47p75,24.75,47.75
AHN-00567,24.52079351252055,48.08861582835427,CLIMS24p75_48p25,24.75,48.25
AHN-00568,24.522665220683734,48.18721187098989,CLIMS24p75_48p25,24.75,48.25
AHN-00569,24.52447262408868,48.285817725270995,CLIMS24p75_48p25,24.75,48.25
AHN-00570,24.52621569783276,48.38443304875763,CLIMS24p75_48p25,24.75,48.25
AHN-00571,24.52789441791258,48.48305749880712,CLIMS24p75_48p25,24.75,48.25
AHN-00572,24.529508761196237,48.58169073256543,CLIMS24p75_48p75,24.75,48.75
AHN-00573,24.5310587054366,48.68033240704619,CLIMS24p75_48p75,24.75,48.75
AHN-00574,24.532544229271107,48.77898217905411,CLIMS24p75_48p75,24.75,48.75
AHN-00575,24.533965312225785,48.87763970522114,CLIMS24p75_48p75,24.75,48.75
AHN-00576,24.53532193469831,48.976304642063894,CLIMS24p75_48p75,24.75,48.75
AHN-00577,24.536614077987018,49.07497664589897,CLIMS24p75_49p25,24.75,49.25
AHN-00578,24.53784172427247,49.17365537292667,CLIMS24p75_49p25,24.75,49.25
AHN-00579,24.539004856621442,49.27234047918725,CLIMS24p75_49p25,24.75,49.25
AHN-00580,24.540103458974535,49.37103162061891,CLIMS24p75_49p25,24.75,49.25
AHN-00581,24.541137516180324,49.4697284530079,CLIMS24p75_49p25,24.75,49.25
AHN-00582,24.542107013987142,49.568430632036325,CLIMS24p75_49p75,24.75,49.75
AHN-00583,24.54301193899495,49.66713781327992,CLIMS24p75_49p75,24.75,49.75
AHN-00584,24.602829340451017,47.69196923550365,CLIMS24p75_47p75,24.75,47.75
AHN-00585,24.604966847307537,47.79059289107137,CLIMS24p75_47p75,24.75,47.75
AHN-00586,24.607039891261497,47.88922776119475,CLIMS24p75_47p75,24.75,47.75
AHN-00587,24.609048443755217,47.98787350322552,CLIMS24p75_47p75,24.75,47.75
AHN-00588,24.610992477142513,48.08652977423105,CLIMS24p75_48p25,24.75,48.25
AHN-00589,24.612871964607248,48.185196231144104,CLIMS24p75_48p25,24.75,48.25
AHN-00590,24.614686880263786,48.283872530596895,CLIMS24p75_48p25,24.75,48.25
AHN-00591,24.616437199087052,48.38255832910803,CLIMS24p75_48p25,24.75,48.25
AHN-00592,24.618122896942953,48.48125328292066,CLIMS24p75_48p25,24.75,48.25
AHN-00593,24.61974395059067,48.579957048149126,CLIMS24p75_48p75,24.75,48.75
AHN-00594,24.621300337661534,48.678669280711304,CLIMS24p75_48p75,24.75,48.75
AHN-00595,24.622792036694374,48.7773896363187,CLIMS24p75_48p75,24.75,48.75
AHN-00596,24.624219027100363,48.87611777055684,CLIMS24p75_48p75,24.75,48.75
AHN-00597,24.62558128918842,48.974853338837136,CLIMS24p75_48p75,24.75,48.75
AHN-00598,24.626878804155183,49.07359599639948,CLIMS24p75_49p25,24.75,49.25
AHN-00599,24.628111554087543,49.17234539836999,CLIMS24p75_49p25,24.75,49.25
AHN-00600,24.62927952196717,49.27110119970651,CLIMS24p75_49p25,24.75,49.25
AHN-00601,24.6303826916773,49.369863055253134,CLIMS24p75_49p25,24.75,49.25
AHN-00602,24.631421047977003,49.46863061972598,CLIMS24p75_49p25,24.75,49.25
AHN-00603,24.632394576510205,49.567403547706995,CLIMS24p75_49p75,24.75,49.75
AHN-00604,24.633303263841054,49.66618149370194,CLIMS24p75_49p75,24.75,49.75
AHN-00605,24.63414709742137,49.764964112082446,CLIMS24p75_49p75,24.75,49.75
AHN-00606,24.69299322524391,47.68959029780206,CLIMS24p75_47p75,24.75,47.75
AHN-00607,24.695139590564153,47.78828457572581,CLIMS24p75_47p75,24.75,47.75
